gbifID,institutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,species,lon,lat,year,country,region
2736146065,CLO,OBS734171692,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.68293,17.743822,2019,Belize,Orange Walk
2737824585,CLO,OBS732666225,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.65209,17.764627,2019,Belize,Orange Walk
2739191994,CLO,OBS733436189,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.48912,17.414366,2019,Belize,Belize
2741330154,CLO,OBS739557915,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.1112,17.539154,2019,Belize,Orange Walk
2742549639,CLO,OBS738260788,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.154465,18.196539,2019,Belize,Corozal
2743235491,CLO,OBS738708876,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.55596,17.302568,2019,Belize,Belize
2743481602,CLO,OBS734950806,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2746164338,CLO,OBS738647608,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.55596,17.302568,2019,Belize,Belize
2748037352,CLO,OBS741357158,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.541626,17.357641,2019,Belize,Belize
2750581652,CLO,OBS738234363,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2751321420,CLO,OBS737525124,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2751853476,CLO,OBS738647717,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.55596,17.302568,2019,Belize,Belize
2755453646,CLO,OBS744677722,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2762809258,CLO,OBS747712592,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.299835,17.566872,2019,Belize,Belize
2763197891,CLO,OBS733979429,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.62966,17.762554,2019,Belize,Orange Walk
2764643823,CLO,OBS737732010,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2765757248,CLO,OBS743360494,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.211266,18.306047,2019,Belize,Corozal
2766169354,CLO,OBS737515024,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2766929197,CLO,OBS741214948,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.541626,17.357641,2019,Belize,Belize
2769378784,CLO,OBS735551549,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.653915,17.751793,2019,Belize,Orange Walk
2771459779,CLO,OBS741661667,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.1112,17.539154,2019,Belize,Orange Walk
2776024463,CLO,OBS758513481,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.49873,17.77479,2019,Belize,Belize
2776606070,CLO,OBS736321290,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.41429,18.264973,2019,Belize,Corozal
2777564186,CLO,OBS737518182,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2790598116,CLO,OBS739074319,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.55596,17.302568,2019,Belize,Belize
2818742260,iNaturalist,53016915,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.186043,20.416691,2019,Mexico,Yucatán
3188622521,CLO,OBS951847770,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.211266,18.306047,2019,Belize,Corozal
2672181930,CLO,OBS750816103,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.627304,17.209948,2019,Guatemala,Petén
2672392819,CLO,OBS752866700,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.627304,17.209948,2019,Guatemala,Petén
2672548816,CLO,OBS751768779,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.627304,17.209948,2019,Guatemala,Petén
2672749509,CLO,OBS754275327,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-90.19287,17.535015,2019,Guatemala,Petén
2675681205,CLO,OBS753515392,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.58338,17.777262,2019,Belize,Orange Walk
2676278482,CLO,OBS764480345,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.14397,18.352,2019,Belize,Corozal
2676949106,CLO,OBS759349302,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2677060923,CLO,OBS764188398,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.615036,17.873577,2019,Belize,Orange Walk
2677931433,CLO,OBS764004477,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.58307,18.038452,2019,Belize,Orange Walk
2678462801,CLO,OBS763614522,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.68592,17.73102,2019,Belize,Orange Walk
2678525501,CLO,OBS760270751,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.43349,18.19522,2019,Belize,Corozal
2679339400,CLO,OBS767610457,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.615036,17.873577,2019,Belize,Orange Walk
